date,license_plate,score,dscore
03/11/2022,23:09:12,AA430G,89.60000000000001
03/11/2022,23:09:18,AA099C,89.8
03/11/2022,23:09:25,AA794F,89.9
03/11/2022,23:09:30,AA430G,88.8
03/11/2022,23:16:09,AA430G,89.9
03/11/2022,23:16:24,AA794F,89.8
03/11/2022,23:16:30,AA430G,89.3
03/11/2022,23:19:36,AA794F,89.7
03/11/2022,23:19:52,AA430G,90.0
03/11/2022,23:24:25,AA430G,89.9
03/11/2022,23:28:48,AA430G,89.1
03/11/2022,23:31:28,AA430G,89.60000000000001
03/11/2022,23:34:20,AA430G,87.2
03/11/2022,23:35:50,AA430G,89.1
03/11/2022,23:36:10,AA430G,90.0
03/11/2022,23:39:13,AA430G,90.0
03/11/2022,23:47:35,AA430G,89.60000000000001
03/11/2022,23:47:43,AA099C,89.9
03/11/2022,23:48:38,AA099C,88.9
03/11/2022,23:49:16,AA099C,90.10000000000001
03/11/2022,23:51:23,AA099C,89.9
04/11/2022,00:04:27,AA430G,89.2
04/11/2022,00:04:53,AA430G,90.10000000000001
04/11/2022,00:05:12,AA794F,90.2
04/11/2022,00:12:48,AA794F,89.8
04/11/2022,00:14:34,AA794F,89.8
04/11/2022,00:15:48,AA794F,89.9
04/11/2022,00:17:33,AA794F,89.9
04/11/2022,00:20:42,AA794F,89.8
04/11/2022,00:22:43,AA794F,89.9
04/11/2022,00:38:26,AA794F,89.60000000000001
04/11/2022,00:39:20,AA430G,89.4
04/11/2022,00:41:35,CZR263,90.2
04/11/2022,00:42:13,ABA239,89.8
04/11/2022,00:43:22,ABA239,89.9
04/11/2022,00:44:21,ABA239,90.0
04/11/2022,00:45:26,AB552U,89.7
04/11/2022,00:45:34,AA794F,90.2
04/11/2022,00:47:30,AA794F,89.60000000000001
04/11/2022,00:48:08,AA794F,89.8
04/11/2022,00:51:47,AA794F,89.9
04/11/2022,00:53:27,AA794F,89.3
04/11/2022,00:55:10,AA794F,89.7
04/11/2022,00:55:56,AA099C,89.60000000000001
04/11/2022,00:56:06,AA430G,90.0
04/11/2022,00:57:20,AA099C,90.0
04/11/2022,00:59:40,AA099C,88.6
04/11/2022,01:00:43,AA430G,90.4
04/11/2022,01:02:20,AA099C,89.5
04/11/2022,01:02:31,AA430G,89.8
04/11/2022,01:03:02,AA430G,90.10000000000001
04/11/2022,01:03:42,AA430G,89.9
04/11/2022,01:05:42,AA430G,90.0
04/11/2022,01:06:42,AA430G,90.2
04/11/2022,01:07:17,AA430G,89.9
04/11/2022,01:07:29,AA099C,90.10000000000001
04/11/2022,01:09:32,AB888C,90.2
04/11/2022,01:10:44,AB888C,90.10000000000001
04/11/2022,01:11:46,AB888C,89.7
04/11/2022,01:16:59,AB888C,89.2
04/11/2022,01:18:12,AB888C,89.3
04/11/2022,01:20:10,AB888C,89.4
04/11/2022,01:20:56,AB888C,90.2
04/11/2022,01:22:46,AB888C,89.9
04/11/2022,01:25:37,AB888C,90.10000000000001
04/11/2022,01:28:24,ABA239,89.5
